"baseER","baseSTAS","endsuc","endsuc10","endsuc90","freqsuc","freq10","freq50","freq90","trajmean","traj10","traj50","traj90","trajprop","trajpop10","trajpop90","fros.median","traj.median","fros.mean","traj.mean"
0.2,0.003,0,0,0,0,0,0,0,-65,-74,-66,-56,0,0,0,"0 (0, 0)","-66 (-74, -56)","0 (0, 0)","-65 (-74, -56)"
0.2,0.007,0,0,0,0.02,0,0,0.1,-51,-64,-52,-38,0,0,0,"0 (0, 0.1)","-52 (-64, -38)","0.02 (0, 0.1)","-51 (-64, -38)"
0.2,0.01,0,0,0.01,0.05,0,0,0.1,-44,-58,-45,-28,0,0,0.01,"0 (0, 0.1)","-45 (-58, -28)","0.05 (0, 0.1)","-44 (-58, -28)"
0.2,0.016,0.07,0.06,0.08,0.14,0,0.1,0.4,-32,-50,-34,-12,0.04,0.03,0.05,"0.1 (0, 0.4)","-34 (-50, -12)","0.14 (0, 0.4)","-32 (-50, -12)"
0.2,0.021,0.16,0.15,0.17,0.23,0,0.1,0.6,-26,-46,-28,-7,0.06,0.05,0.07,"0.1 (0, 0.6)","-28 (-46, -7)","0.23 (0, 0.6)","-26 (-46, -7)"
0.2,0.04,0.44,0.42,0.46,0.5,0.1,0.4,1,-12,-36,-16,14,0.24,0.22,0.25,"0.4 (0.1, 1)","-16 (-36, 14)","0.5 (0.1, 1)","-12 (-36, 14)"
0.25,0.003,0,0,0,0,0,0,0,-69,-76,-69,-60,0,0,0,"0 (0, 0)","-69 (-76, -60)","0 (0, 0)","-69 (-76, -60)"
0.25,0.007,0,0,0,0.01,0,0,0.1,-56,-67,-57,-43,0,0,0,"0 (0, 0.1)","-57 (-67, -43)","0.01 (0, 0.1)","-56 (-67, -43)"
0.25,0.01,0,0,0,0.03,0,0,0.1,-49,-62,-50,-36,0,0,0,"0 (0, 0.1)","-50 (-62, -36)","0.03 (0, 0.1)","-49 (-62, -36)"
0.25,0.016,0.03,0.03,0.04,0.09,0,0.1,0.2,-37,-53,-39,-20,0.02,0.01,0.03,"0.1 (0, 0.2)","-39 (-53, -20)","0.09 (0, 0.2)","-37 (-53, -20)"
0.25,0.021,0.09,0.08,0.1,0.16,0,0.1,0.4,-31,-48,-34,-11,0.04,0.03,0.05,"0.1 (0, 0.4)","-34 (-48, -11)","0.16 (0, 0.4)","-31 (-48, -11)"
0.25,0.04,0.34,0.32,0.36,0.4,0.1,0.2,1,-17,-39,-20,8,0.16,0.15,0.18,"0.2 (0.1, 1)","-20 (-39, 8)","0.4 (0.1, 1)","-17 (-39, 8)"
0.3,0.003,0,0,0,0,0,0,0,-73,-79,-73,-65,0,0,0,"0 (0, 0)","-73 (-79, -65)","0 (0, 0)","-73 (-79, -65)"
0.3,0.007,0,0,0,0.01,0,0,0,-61,-70,-62,-50,0,0,0,"0 (0, 0)","-62 (-70, -50)","0.01 (0, 0)","-61 (-70, -50)"
0.3,0.01,0,0,0,0.02,0,0,0.1,-53,-65,-54,-40,0,0,0,"0 (0, 0.1)","-54 (-65, -40)","0.02 (0, 0.1)","-53 (-65, -40)"
0.3,0.016,0.01,0.01,0.01,0.05,0,0,0.1,-43,-57,-44,-27,0,0,0.01,"0 (0, 0.1)","-44 (-57, -27)","0.05 (0, 0.1)","-43 (-57, -27)"
0.3,0.021,0.04,0.03,0.05,0.1,0,0.1,0.2,-37,-53,-39,-19,0.02,0.01,0.02,"0.1 (0, 0.2)","-39 (-53, -19)","0.1 (0, 0.2)","-37 (-53, -19)"
0.3,0.04,0.23,0.22,0.25,0.28,0,0.1,0.8,-22,-42,-26,1,0.1,0.09,0.12,"0.1 (0, 0.8)","-26 (-42, 1)","0.28 (0, 0.8)","-22 (-42, 1)"
0.35,0.003,0,0,0,0,0,0,0,-76,-82,-76,-69,0,0,0,"0 (0, 0)","-76 (-82, -69)","0 (0, 0)","-76 (-82, -69)"
0.35,0.007,0,0,0,0,0,0,0,-65,-74,-66,-55,0,0,0,"0 (0, 0)","-66 (-74, -55)","0 (0, 0)","-65 (-74, -55)"
0.35,0.01,0,0,0,0.01,0,0,0,-59,-69,-60,-47,0,0,0,"0 (0, 0)","-60 (-69, -47)","0.01 (0, 0)","-59 (-69, -47)"
0.35,0.016,0,0,0.01,0.03,0,0,0.1,-48,-61,-50,-33,0.01,0,0.01,"0 (0, 0.1)","-50 (-61, -33)","0.03 (0, 0.1)","-48 (-61, -33)"
0.35,0.021,0.02,0.01,0.02,0.06,0,0,0.1,-42,-57,-44,-26,0.01,0.01,0.01,"0 (0, 0.1)","-44 (-57, -26)","0.06 (0, 0.1)","-42 (-57, -26)"
0.35,0.04,0.13,0.11,0.14,0.19,0,0.1,0.6,-28,-47,-30,-9,0.06,0.05,0.07,"0.1 (0, 0.6)","-30 (-47, -9)","0.19 (0, 0.6)","-28 (-47, -9)"
0.4,0.003,0,0,0,0,0,0,0,-80,-85,-80,-74,0,0,0,"0 (0, 0)","-80 (-85, -74)","0 (0, 0)","-80 (-85, -74)"
0.4,0.007,0,0,0,0,0,0,0,-70,-78,-70,-61,0,0,0,"0 (0, 0)","-70 (-78, -61)","0 (0, 0)","-70 (-78, -61)"
0.4,0.01,0,0,0,0,0,0,0,-64,-73,-65,-53,0,0,0,"0 (0, 0)","-65 (-73, -53)","0 (0, 0)","-64 (-73, -53)"
0.4,0.016,0,0,0,0.01,0,0,0.1,-54,-66,-55,-40,0,0,0,"0 (0, 0.1)","-55 (-66, -40)","0.01 (0, 0.1)","-54 (-66, -40)"
0.4,0.021,0,0,0,0.03,0,0,0.1,-48,-62,-49,-34,0,0,0.01,"0 (0, 0.1)","-49 (-62, -34)","0.03 (0, 0.1)","-48 (-62, -34)"
0.4,0.04,0.06,0.05,0.06,0.12,0,0.1,0.3,-34,-51,-36,-16,0.02,0.02,0.03,"0.1 (0, 0.3)","-36 (-51, -16)","0.12 (0, 0.3)","-34 (-51, -16)"
0.45,0.003,0,0,0,0,0,0,0,-83,-88,-83,-78,0,0,0,"0 (0, 0)","-83 (-88, -78)","0 (0, 0)","-83 (-88, -78)"
0.45,0.007,0,0,0,0,0,0,0,-74,-81,-75,-67,0,0,0,"0 (0, 0)","-75 (-81, -67)","0 (0, 0)","-74 (-81, -67)"
0.45,0.01,0,0,0,0,0,0,0,-68,-77,-69,-59,0,0,0,"0 (0, 0)","-69 (-77, -59)","0 (0, 0)","-68 (-77, -59)"
0.45,0.016,0,0,0,0.01,0,0,0,-60,-71,-61,-48,0,0,0,"0 (0, 0)","-61 (-71, -48)","0.01 (0, 0)","-60 (-71, -48)"
0.45,0.021,0,0,0,0.01,0,0,0.1,-54,-66,-56,-40,0,0,0,"0 (0, 0.1)","-56 (-66, -40)","0.01 (0, 0.1)","-54 (-66, -40)"
0.45,0.04,0.02,0.02,0.03,0.07,0,0,0.2,-41,-56,-44,-24,0.01,0.01,0.02,"0 (0, 0.2)","-44 (-56, -24)","0.07 (0, 0.2)","-41 (-56, -24)"
0.5,0.003,0,0,0,0,0,0,0,-86,-90,-87,-82,0,0,0,"0 (0, 0)","-87 (-90, -82)","0 (0, 0)","-86 (-90, -82)"
0.5,0.007,0,0,0,0,0,0,0,-79,-84,-79,-72,0,0,0,"0 (0, 0)","-79 (-84, -72)","0 (0, 0)","-79 (-84, -72)"
0.5,0.01,0,0,0,0,0,0,0,-74,-81,-74,-66,0,0,0,"0 (0, 0)","-74 (-81, -66)","0 (0, 0)","-74 (-81, -66)"
0.5,0.016,0,0,0,0,0,0,0,-65,-75,-66,-55,0,0,0,"0 (0, 0)","-66 (-75, -55)","0 (0, 0)","-65 (-75, -55)"
0.5,0.021,0,0,0,0.01,0,0,0,-61,-71,-62,-48,0,0,0,"0 (0, 0)","-62 (-71, -48)","0.01 (0, 0)","-61 (-71, -48)"
0.5,0.04,0.01,0,0.01,0.03,0,0,0.1,-48,-62,-50,-33,0,0,0.01,"0 (0, 0.1)","-50 (-62, -33)","0.03 (0, 0.1)","-48 (-62, -33)"
